"Player","Rank","ADP","Diff","Finish2024","Team","Pos","PosRank","Notes","Id"
"Evan Engram","111","106.7","-0.05","180","DEN","TE","11","","43e1dda1-d83d-4da9-a11a-e6c4b714e102"
"Dalton Kincaid","112","130.4","0.13","258","BUF","TE","12","","8e3162f9-5b76-46e8-b189-777db6212f8b"
"Justin Herbert","113","125.4","0.09","141","LAC","QB","13","","37bd88b0-b695-4a09-a0e9-fc29f6c14dfd"
"Justin Fields","114","104.2","-0.1","148","NYJ","QB","14","","69a1328c-ef69-41a4-a9c6-9ef0f96179f0"
"Drake Maye","115","110.8","-0.05","262","NE","QB","15","","1fd437b3-ec8a-40ff-af9b-bdeb9e195111"
"Jared Goff","116","118.8","0.02","68","DET","QB","16","","a889c484-29f2-47ac-805b-49691067644b"
"Rhamondre Stevenson","117","123.1","0.03","61","NE","RB","36","","9a1d9082-34b9-40f4-8e3c-330caa3fa989"
"Jacory Croskey-Merritt","118","170.9","0.13","","WAS","RB","37","Rookie","f47f5778-3c4d-4320-a4f9-cb57a229024a"
"Jayden Higgins","119","89","-0.35","","HOU","WR","54","Rookie","6f51ed2b-b312-4ac8-a02b-f791528ab5eb"
"Rashod Bateman","120","115.5","-0.05","91","BAL","WR","56","","a539369c-22ad-4d91-b5b9-a616d39018b8"
"Marvin Mims Jr.","121","123.8","0.01","107","DEN","WR","57","","e7384056-0c8d-48b5-8ece-43a68ad9d200"
"Brandon Aiyuk","122","114.4","-0.08","157","SF","WR","55","Torn ACL + MCL","7eba46a1-1484-4352-b7f8-480163694c25"
"Christian Kirk","123","121","-0.02","151","HOU","WR","58","","e35cb821-a7ae-41d8-a7c1-3fb43082b786"
"Jordan Love","124","126.8","0.01","173","GB","QB","17","","86d70c50-1438-435a-be56-17fc097d2763"
"Ray Davis","125","129.8","0.03","146","BUF","RB","38","","216c2a61-381c-4520-a163-a8af32943fb9"
"Braelon Allen","126","144","0.12","217","NYJ","RB","39","","84f0a2d4-81a1-424b-a516-172e02cd82e3"
"David Njoku","127","119.9","-0.07","75","CLE","TE","13","","96103fd4-acc7-4dba-adcf-ae140cf7d983"
"Dallas Goedert","128","138.7","0.07","123","PHI","TE","14","","315ad6ba-764f-4118-9deb-03720308a0c2"
"Jake Ferguson","129","135.8","0.04","228","DAL","TE","15","","5336c84a-59d1-4502-b26c-a9a7a5683195"
"C.J. Stroud","130","132","0.01","269","HOU","QB","18","","d97eb184-b572-477a-98c8-e918a0bf1c66"
"Trevor Lawrence","131","130","-0.02","206","JAX","QB","19","","01b46905-02f2-4016-a320-7cc36b5d1afc"
"Austin Ekeler","132","167.3","0.11","115","WAS","RB","40","","566b0f64-6a4f-4882-aa36-99d15ce990f5"
"Isaac Guerendo","133","161.9","0.18","106","SF","RB","41","","5517771d-f8e5-4ab2-b023-c06057b9d12a"
"Tyler Allgeier","134","155.2","0.14","212","ATL","RB","42","","00403734-5e69-424c-974e-ceefbc335618"
"Will Shipley","135","181.5","0.26","193","PHI","RB","43","","f69a3a63-744a-4568-a158-b69f0d5e4eb6"
"Quinshon Judkins","136","118.6","0.06","","CLE","RB","44","Rookie","513473ee-8e3f-48d1-a0fc-a4f77bc195b9"
"Javonte Williams","137","133.4","-0.02","130","DAL","RB","45","","af512904-a1c9-4f40-ac9b-3f04329bc6b8"
